ID,Cargo,Empresa,Industria,Region,Fuente,Modalidad,Seniority,Salario,Exp_minima,Tipo_Rol,Notas,Es_Duplicado
40,Analista de Datos Junior,ECRGROUP,Servicios / Operaciones,"Ñuñoa, RM",Trabajando.cl,Híbrido,Junior,$800.000 líquido,1 año,BI / Analytics,"Primera oferta con salario explícito: $800K líquido. Excel excluyente, Power BI solo deseable.",False
41,Data Analyst BI,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, RM",Trabajando.cl,Híbrido,Semi-Senior,A convenir,3 años,BI / Analytics,Segunda oferta de Perceptual. Stack idéntico a oferta 41 — probablemente mismo cliente.,False
42,Analista QA Senior - Gobierno del Dato,Banco de Chile,Banca,"Santiago Centro, RM",Trabajando.cl,Híbrido,Senior,A convenir,3 años (rubro financiero),Analista de Datos General,"Rol QA datos, no analítica pura. Senior con exp. financiera. Útil para mapear sector banca.",False
43,Analista de Datos RRHH,Empresa Confidencial,Recursos Humanos,"Providencia, RM",Trabajando.cl,Híbrido,Semi-Senior,A convenir,2-4 años,BI / Analytics,Foco RRHH/personas. Power BI excluyente. BUK es ERP RRHH muy usado en Chile.,False
44,Data Analyst (Reemplazo Pre/Post Natal),Clínica Alemana,Salud,"Vitacura, RM",Trabajando.cl,No especificado,Junior / Semi-Senior,A convenir,1-3 años,BI / Analytics,¡Tu ex empleador! Reemplazo temporal. Sin exp. mínima en formulario. Stack sólido.,False
45,Analista Control Datos Maestros,Empresa Confidencial (Retail),Retail,"Santiago Centro, RM",Trabajando.cl,Presencial,Junior,A convenir,1 año (retail),Datos Operacionales / Industrial,"Rol de gobernanza/calidad de datos, no analítica BI. Stack muy básico. SAP suma para tu CV.",False
46,Analista de Datos / BI Junior,Empresa Confidencial,Desconocida,"Santiago Centro, RM",Trabajando.cl,Presencial,Junior / Semi-Senior,Acorde al mercado,2 años,BI / Analytics,"Proyecto 3 meses renovable. Viernes hasta 15:35. 61 postulantes, 60% técnicos.",False
47,Analista de Protección de Datos,Empresa Confidencial,Corporativo,"Las Condes, RM",Trabajando.cl,Híbrido,Junior,Acorde al mercado,1 año,Privacidad / Compliance,"Rol de privacidad/compliance, no analítica BI. Contrato por proyecto. Viernes hasta 14:00.",False
48,Analista de Privacidad de Datos,Empresa Confidencial,Corporativo,"Las Condes, RM",Trabajando.cl,Híbrido,Junior,Acorde al mercado,1 año,Privacidad / Compliance,⚠ Probable duplicado de oferta #49. Stack y funciones idénticas.,False
49,Analista Data Analytics Junior,Empresa Confidencial (Retail),Retail,"Las Condes, RM",Trabajando.cl,Híbrido,Junior,A convenir,1 año,BI / Analytics,Ya postulaste (09/06). Migración Power BI → Looker. QlikView aparece por primera vez.,False
50,Data Analyst / GCP,Michael Page (cliente retail),Retail,"Huechuraba, RM",Trabajando.cl,Híbrido,Senior,Renta mercado,4 años,BI / Analytics,Muy senior. Proyecto 10 meses. Primera aparición de Power Apps. Michael Page = headhunter.,False
51,Analista de Datos,CGE S.A.,Energía / Utilities,"Las Condes, RM",Trabajando.cl,Presencial,Senior,A convenir,3 años,Data Science / ML,"Primer rol del sector energía. ML + SAP HANA. 61 postulantes, 60% técnicos.",False
52,Analista de Datos - Desarrollador,VALIO SpA,Consultoría TI,"Santiago Centro, RM",Trabajando.cl,Presencial,Semi-Senior,Renta mercado,2-3 años,BI / Analytics,Rol híbrido analista+dev. Pentaho aparece por segunda vez. Contrato 3m + indefinido.,False
53,Analista de Confiabilidad de Datos,Empresa Confidencial (Alimentos),Industria / Alimentos,"Santiago Centro, RM",Trabajando.cl,Presencial,Junior,A convenir,1 año,Datos Operacionales / Industrial,"Rol industrial/mantenimiento, no BI puro. Primer sector alimentos. Stack técnico muy vago.",False
54,Analista de Datos (Maquinaria),Empresa Confidencial (Minería/Construcción),Minería / Construcción,"Huechuraba, RM",Trabajando.cl,Presencial,Junior,A convenir,1 año,Datos Operacionales / Industrial,Sector movimiento de tierra. Python + IA predictiva. Primer rol con Máximo (ERP mantenimiento).,False
55,Analista de Datos / Compensaciones,Consorcio,Servicios Financieros / Seguros,"Las Condes, RM",Trabajando.cl,Híbrido,Junior / Semi-Senior,A convenir,Hasta 2 años,BI / Analytics,Ya postulaste (09/06). Hasta 2 años exp. Foco RRHH/compensaciones. AWS como plataforma.,False
56,Analista de Datos,Forum Servicios Financieros (BBVA),Servicios Financieros,"Las Condes, RM",Trabajando.cl,Híbrido,Junior,A convenir,0-1 año,Analista de Datos General,0-1 año exp. Primera oferta con IA/Gemini como req. explícito avanzado. Google stack puro.,False
57,Data Analyst Financiero,Quelen Fruit,Agroindustria / Exportación,"Las Condes, RM",Trabajando.cl,Presencial,Junior,A convenir,0-2 años,BI / Analytics,Primer sector agroindustria/exportación. 0-2 años exp. Excel + Power BI intermedios.,False
58,Analista Datos de Negocio,Bci Seguros,Seguros / Banca,"Las Condes, RM",Trabajando.cl,Híbrido,Junior / Semi-Senior,A convenir,1 año,Data Engineering,"IA como req. explícito (prompts, implementación). PySpark y TypeScript aparecen por primera vez.",False
59,Analista de Consistencia de Datos,Soprole,Consumo Masivo / Logística,"Renca, RM",Trabajando.cl,Presencial,Junior,A convenir,1 año (o práctica),BI / Analytics,Sin exp. mínima en formulario. Foco logístico. Tu práctica en Clínica Alemana puede contar.,False
60,Analista de Gestión de Datos,BancoEstado Cobranzas,Banca / Cobranza,"Santiago Centro, RM",Trabajando.cl,Presencial,Semi-Senior,A convenir,3 años,BI / Analytics,Formulario dice 'sin exp.' pero perfil pide 3 años. Banco Estado = empresa pública grande.,False
61,Analista de Datos de Activos,Transelec,Energía / Transmisión,"Cerro Navia, RM",Trabajando.cl,Presencial,Senior,A convenir,3 años,BI / Analytics,Sector transmisión eléctrica. Stack completo ETL+BI. GIS aparece por primera vez.,False
62,Analista de Datos (Laboratorio LIMS),Empresa Confidencial,Minería / Laboratorio Químico,Antofagasta,Trabajando.cl,No especificado,Junior,$1.200.000 líquido,1 año,Datos Operacionales / Industrial,⚠ NO es rol TI/BI. Analista químico de laboratorio. Útil solo para análisis de ruido en el mercado.,False
63,Analista de Datos Sucursal Quilicura,Komatsu Cummins,Industrial/Mining,"Quilicura, RM",Trabajando,Presencial,Senior,No especificado,4 años,Data Engineering,Analítica avanzada,False
64,Ingeniero Analista de Datos,CyD Ingeniería,Minería,Coquimbo/Atacama,Trabajando,No especificado,Senior,No especificado,5 años,Analista de Datos General,Rubro minero,False
65,Data Analyst,WOM,Telecomunicaciones,"Santiago, RM",Trabajando,Presencial,Semi-Senior,No especificado,3 años,BI / Analytics,Ecommerce,False
66,Desarrollador Senior NodeJs y TypeScript,Perceptual,TI,Huechuraba,Trabajando,Híbrido,Senior,No especificado,3 años,Analista de Datos General,Backend,False
67,Analista Contratos y Adm. de Terceros,Chilexpress,Logística,Huechuraba,Trabajando,Híbrido,No especificado,No especificado,2 años,BI / Analytics,Proveedores,False
68,Analista de Subsidios,Nueva Masvida,Salud,Las Condes,Trabajando,Presencial,No especificado,No especificado,2 años,BI / Analytics,Isapre,False
69,Ingeniero Comercial Procurement,Confidencial,Seguros,Las Condes,Trabajando,Híbrido,Junior,1000000,1 año,Analista de Datos General,Procurement,False
70,Administrador Infraestructura AWS,Perceptual,TI,Santiago,Trabajando,Presencial,No especificado,No especificado,1 año,Analista de Datos General,Infraestructura,False
71,Analista de Demanda,Comercial de Campo,Alimentos,Huechuraba,Trabajando,Presencial,No especificado,No especificado,1 año,BI / Analytics,Forecast,False
72,Analista BI,BC Tecnología,TI,Santiago,GetOnBoard,Híbrido,Semi-Senior,No especificado,2 años,BI / Analytics,BI,False
73,Data Analyst,BC Tecnología,TI,Santiago,GetOnBoard,Híbrido,Semi-Senior,No especificado,2 años,BI / Analytics,Risk Ops,False
74,Analista de Datos SQL,Perceptual,Financiero,Santiago,BNE,Híbrido,No especificado,A convenir,3 años,BI / Analytics,Datos,False
75,Analista Trade Marketing,Retail Confidencial,Retail,Santiago,BNE,Presencial,No especificado,No especificado,1 año,Analista de Datos General,Trade,False
76,Analista Protección de Datos,PS Grupo Hunting,Compliance,Santiago,BNE,Híbrido,No especificado,No especificado,2 años,Privacidad / Compliance,Privacidad,False
77,Ingeniero Analista de Datos,Xinerlink,Retail,Las Condes,BNE,Presencial,No especificado,1200000,1 año,BI / Analytics,Proyecto,False
78,Analista Datos Santiago,Komatsu Cummins,Industrial,Santiago,BNE,Presencial,Senior,No especificado,4 años,Data Engineering,Duplicada,False
79,Analista Datos y Control Gestión,Empresa Internacional,Acuícola,Puerto Varas,BNE,Presencial,Junior,No especificado,0-3 años,BI / Analytics,Control gestión,False
80,Analista Datos Automatización Auditoría,AFP Modelo,Financiero,Santiago,BNE,Híbrido,No especificado,No especificado,2 años,Analista de Datos General,Auditoría,False
81,Analista Datos Geomático Forestal,Rabanal y Stenger,Forestal,Ecuador,BNE,Presencial,Senior,No especificado,5 años,Analista de Datos General,Geomática,False
82,Analista Calidad de Datos SQL,Kibernum,TI,Santiago,BNE,Híbrido,No especificado,No especificado,2 años,BI / Analytics,Calidad datos,False
83,Analista Junior Datos y Automatización,RyC Consultores,TI,Santiago,BNE,Híbrido,Junior,No especificado,0-1 años,BI / Analytics,Junior,False
84,Analista Datos Junior,Kibernum,TI,Santiago,BNE,Híbrido,Junior,850000,1 año,Data Engineering,Junior,False
